Step,Value
43,0.675431609
46,0.637480617
72,0.572318017
95,0.675174236
159,0.562854946
168,0.559958339
230,0.582594573
235,0.509056509
256,0.591655672
274,0.522859871
309,0.448745012
311,0.469625086
319,0.430984348
422,0.449039072
461,0.303285092
475,0.345476657
537,0.335675627
564,0.330635667
580,0.313580036
587,0.335696042
635,0.266752094
648,0.30276832
662,0.215369016
672,0.212550879
715,0.232764632
723,0.20855023
772,0.213890836
786,0.274168402
788,0.256866187
803,0.190897897
809,0.190951809
837,0.199507177
946,0.189367667
972,0.167857587
973,0.195356667
979,0.184012502
1006,0.176120132
1015,0.245097384
1064,0.199083298
1067,0.194916755
1094,0.190504402
1105,0.227442905
1162,0.158718586
1181,0.223872945
1262,0.18746838
1317,0.14448303
1320,0.161314547
1334,0.160981983
1338,0.180324107
1386,0.154986382
1393,0.154690325
1415,0.165437803
1427,0.258193314
1437,0.163252801
1467,0.168035105
1492,0.161048397
1524,0.158862397
1553,0.156313077
1569,0.160239935
1585,0.167624578
1606,0.160783812
1641,0.153070867
1692,0.152008697
1710,0.147058651
1719,0.149612159
1733,0.16796945
1735,0.148155242
1738,0.151503339
1782,0.187274367
1827,0.148193493
1845,0.202990711
1854,0.14485082
1867,0.146559358
1870,0.152689531
1878,0.163226917
1918,0.142457038
1935,0.143007204
1948,0.169390202
2002,0.152485698
2037,0.207068115
2078,0.149201393
2097,0.158882737
2188,0.162904873
2200,0.156766504
2212,0.153739259
2232,0.133488208
2237,0.142369151
2238,0.15737012
2258,0.159672439
2263,0.136002541
2308,0.147158667
2320,0.146067098
2355,0.197078064
2390,0.146957308
2391,0.139287129
2393,0.1386244
2437,0.146473348
2454,0.142819554
2456,0.14449881
2461,0.133582741
2486,0.135531336
2487,0.150856197
2497,0.143706053
2499,0.15593031
2504,0.137257412
2533,0.143629864
2548,0.136352107
2554,0.136845306
2686,0.15024443
2741,0.153327569
2755,0.127677858
2790,0.145286188
2897,0.146651879
2968,0.135594442
3012,0.144883901
3039,0.148996651
3042,0.134019881
3100,0.130178019
3162,0.137937173
3197,0.145483464
3231,0.155557737
3245,0.131520063
3247,0.138809636
3248,0.138334036
3306,0.164547727
3377,0.13675271
3409,0.127990514
3450,0.139399126
3481,0.140105799
3601,0.128878921
3619,0.132106245
3621,0.158773884
3671,0.135213032
3727,0.138205737
3742,0.133364215
3794,0.134815872
3815,0.135447264
3820,0.138868168
3822,0.130948648
3865,0.137241125
3929,0.131973922
3957,0.129303068
3985,0.135258168
4037,0.150868386
4099,0.143854067
4110,0.120225206
4183,0.154347315
4197,0.138983861
4203,0.126359165
4228,0.151958674
4233,0.139979199
4264,0.131294563
4305,0.121131904
4318,0.124575011
4320,0.138198644
4401,0.131578833
4434,0.128400236
4493,0.124027297
4510,0.128637806
4531,0.141564041
4629,0.127488285
4665,0.145424902
4669,0.133102044
4677,0.143436506
4751,0.131952062
4789,0.145428345
4801,0.124340437
4803,0.123034365
4841,0.124829508
4853,0.131457329
4895,0.128058881
4963,0.128418654
4972,0.116444446
4975,0.142532095
5051,0.154380113
5053,0.131543726
5107,0.136917531
5135,0.132188484
5201,0.124798223
5240,0.135702014
5330,0.135653198
5346,0.137510434
5360,0.137082353
5421,0.129990861
5443,0.127818778
5516,0.127926096
5518,0.127014264
5550,0.138109043
5588,0.130939394
5661,0.126856312
5665,0.135681272
5680,0.201655403
5721,0.129916728
5724,0.135055333
5809,0.129631609
5826,0.122367226
5829,0.118817933
5863,0.132430285
5865,0.114179336
5872,0.128529936
5908,0.129335463
5929,0.126888707
5953,0.133131221
5964,0.145711288
5991,0.124246635
6011,0.136294797
6016,0.138533294
6122,0.120393828
6132,0.127324402
6182,0.132584199
6201,0.132356927
6214,0.142144248
6220,0.120864101
6233,0.131229207
6290,0.124684542
6313,0.123213716
6318,0.134550661
6342,0.122071564
6364,0.127007827
6377,0.124647036
6401,0.121065855
6497,0.137665361
6521,0.125130653
6575,0.126927674
6585,0.123789825
6604,0.120177969
6658,0.136002511
6697,0.134061664
6700,0.131670952
6712,0.130748168
6739,0.130407125
6743,0.116827838
6847,0.13254942
6855,0.146169692
6870,0.123086803
6967,0.123933055
6993,0.119307421
7015,0.117827855
7107,0.133196458
7115,0.120017111
7156,0.137234956
7217,0.122717857
7248,0.1238814
7312,0.118215285
7330,0.144395873
7340,0.132232204
7341,0.146036714
7360,0.118507035
7383,0.130192399
7402,0.12831375
