Step,Value
43,0.00099871
46,0.00099862
72,0.00099784
95,0.00099715
159,0.000995229
168,0.000994959
230,0.000993097
235,0.000992947
256,0.000992317
274,0.000991776
309,0.000990725
311,0.000990665
319,0.000990425
422,0.000987331
461,0.000986159
475,0.000985739
537,0.000983875
564,0.000983064
580,0.000982583
587,0.000982373
635,0.00098093
648,0.000980539
662,0.000980118
672,0.000979817
715,0.000978524
723,0.000978284
772,0.00097681
786,0.000976389
788,0.000976329
803,0.000975877
809,0.000975697
837,0.000974855
946,0.000971575
972,0.000970792
973,0.000970762
979,0.000970581
1006,0.000969769
1015,0.000969498
1064,0.000968023
1067,0.000967932
1094,0.000967119
1105,0.000966788
1162,0.000965071
1181,0.000964499
1262,0.000962059
1317,0.000960402
1320,0.000960311
1334,0.00095989
1338,0.000959769
1386,0.000958322
1393,0.000958111
1415,0.000957448
1427,0.000957086
1437,0.000956785
1467,0.00095588
1492,0.000955127
1524,0.000954162
1553,0.000953287
1569,0.000952804
1585,0.000952322
1606,0.000951688
1641,0.000950633
1692,0.000949094
1710,0.000948551
1719,0.000948279
1733,0.000947857
1735,0.000947796
1738,0.000947706
1782,0.000946378
1827,0.000945019
1845,0.000944476
1854,0.000944204
1867,0.000943812
1870,0.000943721
1878,0.000943479
1918,0.000942272
1935,0.000941758
1948,0.000941366
2002,0.000939735
2037,0.000938677
2078,0.000937438
2097,0.000936864
2188,0.000934114
2200,0.000933751
2212,0.000933388
2232,0.000932784
2237,0.000932633
2238,0.000932602
2258,0.000931998
2263,0.000931847
2308,0.000930486
2320,0.000930123
2355,0.000929064
2390,0.000928006
2391,0.000927975
2393,0.000927915
2437,0.000926584
2454,0.000926069
2456,0.000926009
2461,0.000925858
2486,0.000925101
2487,0.000925071
2497,0.000924768
2499,0.000924708
2504,0.000924556
2533,0.000923679
2548,0.000923225
2554,0.000923043
2686,0.000919047
2741,0.000917381
2755,0.000916957
2790,0.000915897
2897,0.000912655
2968,0.000910503
3012,0.000909169
3039,0.00090835
3042,0.000908259
3100,0.0009065
3162,0.00090462
3197,0.000903558
3231,0.000902526
3245,0.000902101
3247,0.000902041
3248,0.00090201
3306,0.00090025
3377,0.000898095
3409,0.000897123
3450,0.000895878
3481,0.000894937
3601,0.000891291
3619,0.000890744
3621,0.000890683
3671,0.000889164
3727,0.000887462
3742,0.000887006
3794,0.000885424
3815,0.000884786
3820,0.000884634
3822,0.000884573
3865,0.000883265
3929,0.000881318
3957,0.000880466
3985,0.000879614
4037,0.000878032
4099,0.000876145
4110,0.00087581
4183,0.000873587
4197,0.00087316
4203,0.000872978
4228,0.000872216
4233,0.000872064
4264,0.00087112
4305,0.000869871
4318,0.000869474
4320,0.000869413
4401,0.000866945
4434,0.000865939
4493,0.00086414
4510,0.000863622
4531,0.000862982
4629,0.000859993
4665,0.000858894
4669,0.000858772
4677,0.000858528
4751,0.00085627
4789,0.00085511
4801,0.000854744
4803,0.000854683
4841,0.000853522
4853,0.000853156
4895,0.000851873
4963,0.000849796
4972,0.000849522
4975,0.00084943
5051,0.000847108
5053,0.000847047
5107,0.000845396
5135,0.000844541
5201,0.000842523
5240,0.00084133
5330,0.000838577
5346,0.000838088
5360,0.000837659
5421,0.000835793
5443,0.00083512
5516,0.000832885
5518,0.000832824
5550,0.000831844
5588,0.00083068
5661,0.000828444
5665,0.000828322
5680,0.000827862
5721,0.000826606
5724,0.000826514
5809,0.000823909
5826,0.000823388
5829,0.000823296
5863,0.000822254
5865,0.000822192
5872,0.000821978
5908,0.000820874
5929,0.00082023
5953,0.000819494
5964,0.000819156
5991,0.000818328
6011,0.000817715
6016,0.000817561
6122,0.000814309
6132,0.000814002
6182,0.000812467
6201,0.000811883
6214,0.000811484
6220,0.0008113
6233,0.000810901
6290,0.00080915
6313,0.000808444
6318,0.00080829
6342,0.000807553
6364,0.000806877
6377,0.000806478
6401,0.00080574
6497,0.00080279
6521,0.000802052
6575,0.000800392
6585,0.000800084
6604,0.0007995
6658,0.000797839
6697,0.000796639
6700,0.000796547
6712,0.000796177
6739,0.000795347
6743,0.000795223
6847,0.000792022
6855,0.000791776
6870,0.000791314
6967,0.000788327
6993,0.000787526
7015,0.000786848
7107,0.000784013
7115,0.000783767
7156,0.000782503
7217,0.000780622
7248,0.000779666
7312,0.000777692
7330,0.000777136
7340,0.000776828
7341,0.000776797
7360,0.000776211
7383,0.000775501
7402,0.000774915
7451,0.000773402
7461,0.000773094
7464,0.000773001
7479,0.000772538
7512,0.000771519
7610,0.000768492
